Timestamps,WindSpeed,StdDevWindSpeed,WindDirAbs,WindDirRel,Power,MaxPower,MinPower,StdDevPower,AvgRPow,Pitch,GenRPM,RotorRPM,EnvirTemp,NacelTemp,GearOilTemp,GearBearTemp,GenPh1Temp,GenPh2Temp,GenPh3Temp,GenBearTemp
2019/7/28 15:50,2.6,0.9,350.2,4.8,-0.6,-0.6,-4.4,0.3,-0.2,0.4,973,15.7,18,20,27,50,27,32,28,48
2019/7/28 16:50,5.0,1.2,305.5,0.1,59.2,153.4,-9.2,42.4,0.0,-1.1,1065,17.2,16,21,37,54,36,41,37,57
2019/7/28 17:50,6.4,1.1,312.1,3.5,130.0,316.4,39.9,59.3,0.0,-1.7,1224,19.7,16,22,42,57,46,52,47,63
2019/7/28 18:50,6.2,1.1,311.9,3.8,122.7,227.6,29.2,50.7,0.0,-1.6,1200,19.3,16,23,45,57,50,59,50,59
2019/7/28 19:50,6.1,1.0,329.5,-2.9,108.2,236.3,9.9,45.0,0.0,-1.6,1179,19.0,15,22,46,58,49,58,49,59
2019/7/28 20:50,2.9,0.7,307.0,-5.8,-1.3,-1.1,-5.1,0.6,-2.1,1.0,1224,19.7,15,21,46,58,43,52,43,56
2019/7/28 21:50,4.5,0.5,315.4,2.2,32.3,123.7,-3.5,16.5,0.0,-0.7,1008,16.2,15,20,45,56,40,48,40,53
2019/7/28 22:50,3.1,0.4,300.7,-2.2,5.9,17.6,-1.3,3.2,0.0,0.3,1000,16.1,15,21,44,54,39,47,39,50
2019/7/28 23:50,4.7,0.4,302.6,4.7,39.0,66.2,16.1,10.4,0.0,-1.1,1002,16.2,15,20,45,56,37,45,37,57
2019/7/29 0:50,3.3,0.5,289.4,0.3,-0.7,-0.6,-4.6,0.5,0.7,2.1,1236,19.9,15,21,45,56,42,50,43,61
2019/7/29 1:50,4.6,0.3,275.8,3.7,34.7,55.1,18.3,7.6,0.0,-0.9,1000,16.1,15,22,45,55,47,56,48,63
2019/7/29 2:50,2.1,0.5,282.5,-4.8,-1.0,5.2,-5.0,1.0,1.3,0.6,839,13.5,14,22,44,54,48,57,48,55
2019/7/29 3:50,2.2,0.5,284.5,-2.3,-0.8,5.6,-5.0,1.4,1.5,0.7,962,15.5,14,20,44,54,41,49,41,52
2019/7/29 4:50,3.0,0.4,254.9,-3.1,-1.2,-1.1,-5.0,0.5,-1.8,0.7,1163,18.8,13,20,44,56,37,45,37,51
2019/7/29 5:50,3.1,0.5,263.9,2.0,-0.6,-0.6,-4.5,0.4,-0.5,0.8,1209,19.5,14,20,46,59,36,45,37,62
2019/7/29 6:50,2.9,0.9,277.3,1.8,-0.7,-0.6,-6.1,0.6,-0.6,1.0,1158,18.7,15,21,47,57,38,47,39,60
