,lr,sample/sec
1,0.001,12675.650209939775
2,0.001,12679.836540018117
3,0.001,11503.38267546717
4,0.001,11721.690877450563
5,0.001,13332.01798272221
6,0.001,11989.781562906099
7,0.001,12879.53091278055
8,0.001,11556.326954633452
9,0.001,12758.54944194398
10,0.001,12256.413498741218
11,0.001,13085.99239961463
12,0.001,13107.16227442148
13,0.001,13189.029181488375
14,0.001,11849.065451932735
15,0.001,12725.206562649078
16,0.001,13562.747348092376
17,0.001,10157.599559505601
18,0.001,10638.427078198012
19,0.001,12563.868545279287
20,0.001,12046.241267107767
21,0.001,13380.026703473053
22,0.001,13157.814211663252
23,0.001,12383.333551502226
24,0.001,11917.76790537972
25,0.001,12230.888138313325
26,0.001,12885.460514922443
27,0.001,11507.104724870109
28,0.001,10871.943673678943
29,0.001,12401.476431167677
30,0.001,12362.612949329223
31,0.001,12616.071861998815
32,0.001,12738.270288322432
33,0.001,13420.244310862161
34,0.001,12886.885836361365
35,0.001,12453.359142242167
36,0.001,11607.641116277613
37,0.001,13019.457069370148
38,0.001,11173.580270248005
39,0.001,13270.688947962422
40,0.001,12536.788716146688
41,0.001,12405.750393153832
42,0.001,12209.4196834463
43,0.001,12704.22102443838
44,0.001,13049.24060592374
45,0.001,11725.352095221737
46,0.001,13042.382504124113
47,0.001,12672.410421056104
48,0.001,12727.829493363459
49,0.001,11525.110853044891
50,0.001,12203.579441429334
51,0.001,13516.780525783917
52,0.001,13427.947846191131
53,0.001,12665.115078503644
54,0.001,13016.447506020868
55,0.001,7531.041264373872
56,0.001,13039.657098364247
57,0.001,11491.253771097177
58,0.001,13517.213156448066
59,0.001,11850.413211133802
60,0.001,13677.770240062293
61,0.001,12906.662184348694
62,0.001,13379.519547955884
63,0.001,13249.24776205565
64,0.001,13581.861295025843
65,0.0005,12551.48630295246
66,0.0005,13284.718192648003
67,0.0005,11580.217365333467
68,0.0005,12173.340127752193
69,0.0005,13024.684116984783
70,0.0005,13224.317983061273
71,0.0005,12814.684490541467
72,0.0005,11845.391842056462
73,0.0005,11617.442767506183
74,0.0005,12649.696995638027
75,0.0005,13171.69372388216
76,0.00025,12435.757350765753
77,0.00025,12191.727152754842
78,0.00025,13685.946587199542
79,0.00025,12211.15330082751
80,0.00025,10787.456992712956
81,0.00025,12630.463610115745
82,0.00025,13344.648542033292
83,0.00025,12562.433701947528
84,0.00025,13645.571709056254
85,0.00025,10931.386483445702
86,0.00025,11691.79537528935
87,0.000125,12422.497273887697
88,0.000125,12588.646158974536
89,0.000125,10107.252263339044
90,0.000125,12942.075865183078
91,0.000125,12756.34729411727
92,0.000125,13241.340079599844
93,0.000125,12541.994468796225
94,0.000125,12136.33335968893
95,0.000125,12236.03281429212
96,0.000125,13417.457672602819
97,0.000125,12447.807370051385
98,6.25e-05,12751.993408866476
99,6.25e-05,13054.657338716337
100,6.25e-05,13561.495216502013
101,6.25e-05,13042.871615687689
102,6.25e-05,13158.905045563415
103,6.25e-05,13427.711503483648
104,6.25e-05,12599.289325495774
105,6.25e-05,12646.064721117984
106,6.25e-05,12015.640146562142
107,6.25e-05,13285.02415458486
108,6.25e-05,11618.818260561942
109,3.125e-05,12877.048417157752
110,3.125e-05,12886.155583027
111,3.125e-05,11739.35553172036
112,3.125e-05,12951.154706342564
113,3.125e-05,12466.790368144619
114,3.125e-05,13480.4382595959
115,3.125e-05,11630.583171698228
116,3.125e-05,10783.453212808492
117,3.125e-05,11682.566153463298
118,3.125e-05,12035.427412883733
119,3.125e-05,11316.433806521296
120,1.5625e-05,13340.538540324536
121,1.5625e-05,12435.894671918186
122,1.5625e-05,10611.038800508668
123,1.5625e-05,12961.808975258406
124,1.5625e-05,12359.511807117597
125,1.5625e-05,11889.147897489931
126,1.5625e-05,11557.60329027592
127,1.5625e-05,11987.551194188922
128,1.5625e-05,12143.200423899669
129,1.5625e-05,12612.055311739285
130,1.5625e-05,12059.01114068444
131,7.8125e-06,13922.919421340785
132,7.8125e-06,11113.465902333943
133,7.8125e-06,11051.680743346988
134,7.8125e-06,12807.772395326461
135,7.8125e-06,13470.640837970619
136,7.8125e-06,11213.542355658783
137,7.8125e-06,11131.821476650126
138,7.8125e-06,11666.124878345498
139,7.8125e-06,12416.418863287927
140,7.8125e-06,12126.084618013434
141,7.8125e-06,11791.406283496002
142,3.90625e-06,12869.0674415255
143,3.90625e-06,13668.118434678421
144,3.90625e-06,12700.932511592158
145,3.90625e-06,11392.347136617684
146,3.90625e-06,13125.792265052987
147,3.90625e-06,11197.121416564025
148,3.90625e-06,12679.476243815929
149,3.90625e-06,13557.219491683378
150,3.90625e-06,10420.751615993478
