,lr,sample/sec
1,0.001,11507.160713920039
2,0.001,13351.813221401806
3,0.001,12055.181638199032
4,0.001,11146.858565453587
5,0.001,12235.425099540453
6,0.001,12680.965147451476
7,0.001,12351.056185030893
8,0.001,11553.49291646618
9,0.001,11200.854769669088
10,0.001,10557.639802792995
11,0.001,11587.951078756492
12,0.001,11415.833688921643
13,0.001,12456.041759605545
14,0.001,11694.154109664945
15,0.001,12857.257799710493
16,0.001,12687.12843880175
17,0.001,11490.170681261588
18,0.001,13141.911528538963
19,0.001,13064.688715147604
20,0.001,12696.779957020655
21,0.001,12058.894314115561
22,0.001,12429.98606685298
23,0.001,12017.679454697769
24,0.001,11484.334445184952
25,0.001,12059.490768246846
26,0.001,11272.253764408457
27,0.001,11670.908988623485
28,0.001,11662.839874384934
29,0.001,12108.440427756785
30,0.0005,11448.737250273492
31,0.0005,12205.072046049923
32,0.0005,12595.008435730075
33,0.0005,12214.861742224048
34,0.0005,11577.904365038663
35,0.0005,13336.859753186855
36,0.0005,12256.165784210125
37,0.0005,12304.67307029696
38,0.0005,10458.063166701768
39,0.0005,10767.129524243042
40,0.0005,11534.807317507086
41,0.0005,12428.12445150462
42,0.0005,12391.093292615438
43,0.0005,11882.326283156272
44,0.0005,11812.496472479861
45,0.00025,10892.227739210271
46,0.00025,11598.970854951884
47,0.00025,12451.503630941346
48,0.00025,12984.959408963827
49,0.00025,11183.217513345973
50,0.00025,12038.26999116563
51,0.00025,12899.186178612847
52,0.00025,11517.225191209372
53,0.00025,12002.578143634295
54,0.00025,11891.53910707667
55,0.00025,12271.969679677599
56,0.000125,9074.149034742937
57,0.000125,11894.667064995525
58,0.000125,12335.440529092491
59,0.000125,11899.209419544992
60,0.000125,11904.684002368296
61,0.000125,11974.410709634087
62,0.000125,12664.904825780412
63,0.000125,10130.761790448465
64,0.000125,12996.005033542871
65,0.000125,12140.513741368022
66,0.000125,11793.57013558489
67,6.25e-05,12474.85907101688
68,6.25e-05,11484.657905304754
69,6.25e-05,11240.654572067837
70,6.25e-05,11801.697548191565
71,6.25e-05,12232.54560567654
72,6.25e-05,12557.37765848753
73,6.25e-05,12925.715122705453
74,6.25e-05,11535.381184600306
75,6.25e-05,12515.677672352247
76,6.25e-05,11759.885513905449
77,6.25e-05,11288.400249920138
78,3.125e-05,11992.468830989503
79,3.125e-05,12501.684952258242
80,3.125e-05,12527.889784232735
81,3.125e-05,12607.140705813634
82,3.125e-05,12795.742615665738
83,3.125e-05,11653.087821904863
84,3.125e-05,12331.877146348002
85,3.125e-05,10626.629659933185
86,3.125e-05,11497.521834356903
87,3.125e-05,12228.984503057616
88,3.125e-05,11911.069387392656
89,1.5625e-05,12118.628304498912
90,1.5625e-05,12890.713998393587
91,1.5625e-05,12228.522913355915
92,1.5625e-05,11891.957667642875
93,1.5625e-05,11898.58681012336
94,1.5625e-05,12348.431488136468
95,1.5625e-05,11114.500028431441
96,1.5625e-05,12420.213911269375
97,1.5625e-05,11592.353066306616
98,1.5625e-05,12498.275872088887
99,1.5625e-05,12213.322591802036
100,7.8125e-06,11010.565021228735
101,7.8125e-06,11517.578552077568
102,7.8125e-06,12359.124273741427
103,7.8125e-06,12315.835300049463
104,7.8125e-06,12472.010488090555
105,7.8125e-06,11836.860534254984
106,7.8125e-06,12134.776576446386
107,7.8125e-06,13300.706765252151
108,7.8125e-06,12736.39750053997
109,7.8125e-06,12315.553111535039
110,7.8125e-06,12339.424434987548
111,3.90625e-06,12265.439673230978
112,3.90625e-06,12986.513793704042
113,3.90625e-06,13301.215444254005
114,3.90625e-06,12214.054270686407
115,3.90625e-06,11575.977570505573
116,3.90625e-06,12262.050121452405
117,3.90625e-06,12509.712879607387
118,3.90625e-06,11756.214389607661
119,3.90625e-06,12277.881953739834
120,3.90625e-06,11988.146688286024
121,3.90625e-06,11403.382730309788
122,1.953125e-06,11430.454985274017
123,1.953125e-06,11574.997418259305
124,1.953125e-06,11726.03228749413
125,1.953125e-06,12676.784867185925
126,1.953125e-06,10946.818826673549
127,1.953125e-06,11075.140968048257
128,1.953125e-06,10225.196440511132
129,1.953125e-06,10242.600208576545
130,1.953125e-06,11547.248263881676
131,1.953125e-06,11096.550310064518
132,1.953125e-06,13043.375151184677
133,9.765625e-07,12282.874867884262
134,9.765625e-07,12232.760729789541
135,9.765625e-07,12969.841416952528
136,9.765625e-07,12974.231475645056
137,9.765625e-07,12742.923770916
138,9.765625e-07,12226.967675828651
139,9.765625e-07,11757.73984919474
140,9.765625e-07,12677.729437417014
141,9.765625e-07,11899.38903052387
142,9.765625e-07,13005.002389290272
143,9.765625e-07,12301.159429784835
144,4.8828125e-07,11212.840575215063
145,4.8828125e-07,13205.56967934662
146,4.8828125e-07,12472.12230168287
147,4.8828125e-07,12263.410804558362
148,4.8828125e-07,13338.409260748811
149,4.8828125e-07,10439.201253233417
150,4.8828125e-07,12277.569633027682
