,lr,sample/sec
1,0.001,659.0528460340253
2,0.001,12197.946103129976
3,0.001,12187.30417862215
4,0.001,12238.185623003445
5,0.001,12298.338450273983
6,0.001,11315.350936159595
7,0.001,12396.009795207141
8,0.001,12478.077626832901
9,0.001,12341.510736592958
10,0.001,10431.028627329491
11,0.001,12223.681483422999
12,0.001,12695.662163330462
13,0.001,12533.606228540504
14,0.001,12117.541691516917
15,0.001,12289.621427696042
16,0.001,12023.459217849391
17,0.001,12386.005542017912
18,0.001,12614.140638335017
19,0.001,11939.361170976752
20,0.001,12430.04486379021
21,0.001,12498.936401289591
22,0.001,12210.119375213846
23,0.001,12044.302662885319
24,0.001,12428.392228497529
25,0.001,12639.319774790793
26,0.001,12078.219879779452
27,0.001,12301.767293216684
28,0.001,12309.136814624437
29,0.001,11953.27054623221
30,0.001,12227.365930680848
31,0.0005,12349.708228353118
32,0.0005,12482.121274495998
33,0.0005,12532.384157582268
34,0.0005,12332.301556842558
35,0.0005,12654.12347856142
36,0.0005,11881.01303595945
37,0.0005,12290.055707990572
38,0.0005,11959.980338094869
39,0.0005,12284.559218068269
40,0.0005,12310.552824503831
41,0.0005,11676.849966055359
42,0.0005,12537.214056098725
43,0.0005,12519.851773423896
44,0.0005,10520.354996368236
45,0.0005,11360.939696228019
46,0.0005,12035.096682792278
47,0.00025,12465.804690094517
48,0.00025,11618.79542813863
49,0.00025,12465.311909511447
50,0.00025,12518.367329655219
51,0.00025,11986.876777440388
52,0.00025,12713.748211876486
53,0.00025,12561.946597120303
54,0.00025,12176.937857971287
55,0.00025,11572.867717473378
56,0.00025,12370.948514362912
57,0.00025,12393.560798407627
58,0.000125,11724.596418569485
59,0.000125,12322.16228157429
60,0.000125,12414.359293080326
61,0.000125,12584.265358259086
62,0.000125,12130.967256135094
63,0.000125,11944.752112302025
64,0.000125,12598.074545444604
65,0.000125,11606.376489259497
66,0.000125,11753.100408252658
67,0.000125,12562.994252895578
68,0.000125,11892.65732753759
69,6.25e-05,12379.865575075057
70,6.25e-05,12114.438156433731
71,6.25e-05,11698.070090482182
72,6.25e-05,11632.768500528746
73,6.25e-05,12132.28033006033
74,6.25e-05,11894.302151486114
75,6.25e-05,12540.750811834274
76,6.25e-05,12448.528099723175
77,6.25e-05,11934.264155472956
78,6.25e-05,12095.96782318912
79,6.25e-05,11507.838224609426
80,3.125e-05,12368.095438813492
81,3.125e-05,12357.232168095963
82,3.125e-05,12297.98032323349
83,3.125e-05,12315.482566430594
84,3.125e-05,12426.132814079103
85,3.125e-05,12318.978728015361
86,3.125e-05,12510.758458780661
87,3.125e-05,12366.970097555639
88,3.125e-05,12223.60566906583
89,3.125e-05,12487.235563648748
90,3.125e-05,11773.262398392397
91,1.5625e-05,12059.632204164807
92,1.5625e-05,11922.135599798765
93,1.5625e-05,11892.806838187087
94,1.5625e-05,12371.932192393462
95,1.5625e-05,12221.363253020932
96,1.5625e-05,12433.475647996916
97,1.5625e-05,12576.957418622933
98,1.5625e-05,12085.737705252266
99,1.5625e-05,11870.457918598537
100,1.5625e-05,12551.299789252498
101,1.5625e-05,12645.381788938043
102,7.8125e-06,11608.51854197026
103,7.8125e-06,11821.577653269955
104,7.8125e-06,12333.16976021495
105,7.8125e-06,11937.655656429622
106,7.8125e-06,12215.44848773803
107,7.8125e-06,12104.66620807185
108,7.8125e-06,12493.073343586997
109,7.8125e-06,12316.630628151248
110,7.8125e-06,11844.235037701139
111,7.8125e-06,12178.079045774306
112,7.8125e-06,12187.3355804771
113,3.90625e-06,11430.653872068991
114,3.90625e-06,11679.21420864092
115,3.90625e-06,12662.416235305393
116,3.90625e-06,12653.16211349229
117,3.90625e-06,12130.139729977938
118,3.90625e-06,12084.249445476555
119,3.90625e-06,12009.800809965078
120,3.90625e-06,11962.823691751502
121,3.90625e-06,12291.639813895274
122,3.90625e-06,12501.909646874574
123,3.90625e-06,12186.1298655011
124,1.953125e-06,9434.443978152578
125,1.953125e-06,11635.767512937975
126,1.953125e-06,10139.88757372922
127,1.953125e-06,10489.553912316736
128,1.953125e-06,13266.802980962817
129,1.953125e-06,12800.853895437085
130,1.953125e-06,11975.556698817949
131,1.953125e-06,13431.783860163807
132,1.953125e-06,13180.64223445334
133,1.953125e-06,11768.517002646584
134,1.953125e-06,12338.387985696052
135,9.765625e-07,13636.594276433661
136,9.765625e-07,12167.722145820926
137,9.765625e-07,13165.116726992017
138,9.765625e-07,12149.62585317105
139,9.765625e-07,13417.571856346158
140,9.765625e-07,13500.337936575905
141,9.765625e-07,13292.603073876904
142,9.765625e-07,13444.481963927936
143,9.765625e-07,12284.846369296498
144,9.765625e-07,13417.777391980813
145,9.765625e-07,13171.033527940275
146,4.8828125e-07,12945.483367378309
147,4.8828125e-07,12651.835398819236
148,4.8828125e-07,13545.525566393184
149,4.8828125e-07,10622.543957793596
150,4.8828125e-07,12990.608312010825
