,lr,sample/sec
1,0.001,4237.39290504503
2,0.001,4421.054087717689
3,0.001,4473.012885302438
4,0.001,4415.516329756038
5,0.001,4480.139909181199
6,0.001,4558.08542680773
7,0.001,4554.782087861696
8,0.001,4582.790681179944
9,0.001,4411.162086611435
10,0.001,4368.499663265584
11,0.001,4686.394969367193
12,0.001,4355.987106279177
13,0.001,4624.64774947706
14,0.001,4342.625634088252
15,0.001,4667.202786506394
16,0.001,4558.264644557259
17,0.001,4316.0305220906475
18,0.001,4378.095674626706
19,0.001,4464.735761270057
20,0.001,4410.232560048446
21,0.001,4561.258961475974
22,0.001,4588.325360189059
23,0.001,4674.292714289676
24,0.001,4587.070551279401
25,0.001,4746.296884985877
26,0.001,4638.074295087055
27,0.001,4493.990878622744
28,0.001,4269.7021932363305
29,0.001,4494.849263852327
30,0.001,4469.340888440719
31,0.001,4674.679838788211
32,0.001,4377.418222794831
33,0.0005,4365.686113259857
34,0.0005,4483.477768301506
35,0.0005,4552.891605949466
36,0.0005,4603.205621790025
37,0.0005,4344.077378578612
38,0.0005,4615.564464016188
39,0.0005,4529.734113225535
40,0.0005,4564.534704071327
41,0.0005,4554.791737202683
42,0.0005,4577.402226494871
43,0.0005,4628.978107574888
44,0.0005,4648.808558523725
45,0.0005,4634.426992784622
46,0.0005,4549.545901457212
47,0.0005,4639.043207636423
48,0.0005,4195.682367863178
49,0.0005,4553.666548765617
50,0.0005,4425.569499686407
51,0.0005,4618.026706447445
52,0.0005,4686.586276683463
53,0.0005,4599.121869147176
54,0.0005,4334.23732267665
55,0.0005,4616.573557633006
56,0.0005,4568.276612336244
57,0.0005,4767.905804728121
58,0.0005,4632.04249179159
59,0.0005,4621.456769155253
60,0.0005,4527.911174061808
61,0.0005,4502.5869408621575
62,0.0005,4463.925067968936
63,0.00025,4700.494058694232
64,0.00025,4677.76249071244
65,0.00025,4581.4430441391005
66,0.00025,4618.922308749875
67,0.00025,4484.382309044349
68,0.00025,4501.083876222782
69,0.00025,4344.138021989697
70,0.00025,4286.387990429813
71,0.00025,4433.0603205480065
72,0.00025,4448.488943295112
73,0.00025,4484.274323064446
74,0.00025,4461.457721415416
75,0.00025,4430.5921050777915
76,0.00025,4319.996872796437
77,0.00025,4554.474207618514
78,0.00025,4320.4988029559945
79,0.00025,4425.775717780428
80,0.00025,3845.0170367577493
81,0.00025,4419.9221308770675
82,0.000125,4488.275826468273
83,0.000125,4371.020338459966
84,0.000125,4695.35392247697
85,0.000125,4434.887506688435
86,0.000125,4172.126595552059
87,0.000125,4427.1700574300785
88,0.000125,4395.288250995116
89,0.000125,4215.484141668632
90,0.000125,4553.821744354009
91,0.000125,4448.977656914209
92,0.000125,4566.1342277414615
93,6.25e-05,4372.6140133688805
94,6.25e-05,4565.330360046229
95,6.25e-05,4607.427679945096
96,6.25e-05,4529.270867823966
97,6.25e-05,4606.779699315026
98,6.25e-05,4647.098550125098
99,6.25e-05,4612.579410965321
100,6.25e-05,4641.577029276697
101,6.25e-05,4471.862624380348
102,6.25e-05,4410.214466957472
103,6.25e-05,4601.911320681134
104,6.25e-05,4603.703830592047
105,6.25e-05,4384.658995893033
106,6.25e-05,4170.27561554389
107,6.25e-05,4501.090729427249
108,6.25e-05,4336.821188920354
109,6.25e-05,4027.102999161943
110,6.25e-05,4559.022961861248
111,3.125e-05,4636.204937901468
112,3.125e-05,4571.4625916150835
113,3.125e-05,4468.821514133901
114,3.125e-05,4533.96756478077
115,3.125e-05,4755.8461213296305
116,3.125e-05,4369.6740555725955
117,3.125e-05,4602.613467071675
118,3.125e-05,4593.667304275889
119,3.125e-05,4616.665479153409
120,3.125e-05,4718.406874309588
121,3.125e-05,4507.385632476403
122,1.5625e-05,4631.301409403333
123,1.5625e-05,3221.3949661778065
124,1.5625e-05,4272.685884419303
125,1.5625e-05,4337.312718412879
126,1.5625e-05,4600.641016164538
127,1.5625e-05,4631.667839109973
128,1.5625e-05,3183.5250358329895
129,1.5625e-05,4450.193211772161
130,1.5625e-05,4581.9134729389525
131,1.5625e-05,4657.1757429082845
132,1.5625e-05,4531.852889731982
133,1.5625e-05,4599.777538031045
134,1.5625e-05,4620.5249776016235
135,1.5625e-05,4242.272695799484
136,1.5625e-05,4579.517955873157
137,1.5625e-05,4196.991333967013
138,1.5625e-05,4571.204581023523
139,1.5625e-05,4598.988611426115
140,1.5625e-05,4722.635522168251
141,1.5625e-05,4224.9382113942465
142,1.5625e-05,4029.959725963804
143,1.5625e-05,4691.368457301862
144,1.5625e-05,4419.949390178675
145,1.5625e-05,4677.97715169219
146,1.5625e-05,4219.752581543682
147,1.5625e-05,4748.322828130216
148,1.5625e-05,4691.3005237190955
149,1.5625e-05,4759.79728295202
150,1.5625e-05,4095.392691880967
